10
0 53 10.95
1000411010 -0.527442 0.176034 -0.965785
1000250620 1.20987 -0.778748 46.5882
1000110330 -0.354533 0.477136 24.3179
1000040060 -0.202374 0.450822 4.34504
1000020030 0.193062 -0.0107028 2.0541
1000020030 0.124915 -0.368162 2.59541
1000010020 -0.134787 0.0866061 1.3917
2212 0.0433538 0.0564548 0.823463
2212 -0.238654 -0.154933 0.574021
2212 -0.0915073 -0.0138292 0.942691
2212 -0.098766 -0.104955 0.306824
2212 0.00444526 0.074532 -0.271796
2212 0.0735577 0.0913198 0.102508
2212 -0.0748445 0.0956594 -0.08375
2212 0.000382398 0.0978498 0.237927
2212 0.118901 0.168787 -0.20432
2212 0.0759632 0.108343 0.0325055
2212 0.113918 -0.396274 0.461666
2212 -0.111571 -0.0530998 -0.0412167
2212 -0.0695984 -0.024897 0.798983
2212 -0.0387937 -0.110436 0.85882
2112 -0.0339418 0.0337544 0.877458
2112 0.00234894 -0.0838101 0.525173
2112 0.10487 -0.0230985 0.663159
2112 0.102505 -0.100312 1.01959
2112 -0.129474 -0.0669135 0.84921
2112 0.0644892 -0.113275 0.907467
2112 -0.0661094 0.120394 0.763581
2112 -0.0204689 0.333456 0.2177
2112 -0.0680009 -0.027789 0.00647925
2112 0.0690106 -0.0572993 0.74845
2112 -0.122387 -0.0429668 -0.0635669
2112 -0.255827 -0.158229 -0.0288969
2112 0.123222 -0.0371487 0.836034
2112 -0.0382409 -0.0633894 0.0479276
2112 0.0413248 -0.120495 0.063835
2112 0.0108052 0.0610832 0.830794
2112 0.0672167 -0.101064 -0.137489
2112 0.0798408 0.101655 0.135151
2112 -0.19702 -0.061616 1.12289
2112 -0.0174736 0.248384 0.0143255
2112 -0.0207405 -0.0483325 0.951857
2112 -0.0497451 -0.0368488 0.71916
2112 0.094823 0.0916823 0.0330376
2112 -0.0322945 0.00736795 0.0655143
2112 0.231734 0.0709996 0.249006
2112 -0.147841 -0.111023 0.0719138
2112 0.108907 0.228698 0.644026
2112 -0.118745 -0.00106919 -0.0849257
2112 0.0614676 0.0233117 0.94389
2112 -0.0277007 0.121155 0.784875
2112 0.0660753 0.0496259 0.916523
2112 0.101869 -0.104394 0.752623
1 115 7.81
1000250750 1.82415 0.564896 57.2346
1000070160 0.547714 0.459984 -0.23867
1000060100 -0.464343 -0.318628 -0.0148162
1000030120 -0.337898 0.0656207 -0.20653
1000030090 0.157359 -0.10937 -0.361226
1000030060 -0.0769225 -0.213403 3.6355
1000020030 -0.0682297 0.209582 -0.0649209
1000010030 0.202038 -0.284806 0.162328
1000010030 -0.218152 0.421108 0.421042
1000010030 -0.255263 0.368576 0.436245
1000010030 -0.14806 -0.0704549 -0.000196533
1000010020 0.0959272 -0.266655 1.44275
1000010020 0.13547 -0.21148 1.36707
1000010020 0.269802 0.288872 0.325945
1000010020 -0.00264803 -0.10354 0.561859
1000010020 -0.0390107 -0.0489663 -0.0149164
1000010020 -0.104977 -0.0915834 -0.173754
1000010020 -0.159193 0.347957 0.0455217
1000010020 0.0705179 0.0774736 1.42906
1000010020 0.0327327 -0.0340287 1.64086
2212 -0.0973577 0.0160657 0.519146
2212 0.0149181 -0.362763 0.585181
2212 0.221322 0.0879773 0.0295732
2212 -0.0380773 0.520987 0.392233
2212 0.00988609 -0.115517 0.277802
2212 0.143124 0.052124 0.538937
2212 -0.0374745 0.162852 0.229397
2212 0.158098 -0.0205513 0.628582
2212 -0.144064 0.108378 0.0477973
2212 -0.225643 -0.0528835 0.221166
2212 0.0607081 0.0125812 0.0748652
2212 -0.599481 0.0741346 0.268848
2212 0.473935 0.00949683 0.935054
2212 -0.243921 -0.312044 0.183889
2212 0.116873 -0.0437883 0.688239
2212 -0.0206182 -0.0902924 0.584918
2212 -0.117406 0.208337 0.0638302
2212 -0.0110781 -0.0220966 -0.0421717
2212 -0.151659 -0.0624409 -0.0939364
2212 0.29188 -0.0872332 0.495569
2212 -0.152974 0.0247209 0.100813
2212 0.00315556 0.0939697 0.659622
2212 -0.00375641 -0.0407114 0.785922
2212 -0.122927 -0.113096 0.541953
2212 0.213325 0.00841549 0.892582
2212 0.00704728 0.096271 -0.174068
2212 0.0805603 -0.395141 0.556669
2212 -0.0777687 -0.250285 0.605879
2212 0.0655452 -0.0984182 0.297407
2212 0.0560953 -0.0890868 0.518445
2212 -0.192088 -0.0578864 0.536087
2212 -0.0232344 0.330617 0.69897
2212 -0.197471 0.110144 -0.0691599
2212 0.223869 0.1618 0.556283
2212 -0.0296706 -0.158373 0.431928
2212 -0.0603923 0.223721 0.186907
2212 0.122105 -0.0283557 0.0141108
2212 0.142053 -0.0869223 0.3977
2112 -0.066108 0.170239 0.588688
2112 0.12197 0.0879676 0.648021
2112 0.00574825 0.00845691 0.806211
2112 0.0086478 0.120094 0.784276
2112 -0.0586446 0.100305 0.846876
2112 -0.113806 0.13124 0.784129
2112 -0.213736 -0.0240583 0.212052
2112 0.628969 -0.233678 0.0902845
2112 -0.00978114 0.0541139 0.35368
2112 0.171303 -0.136086 0.746783
2112 -0.0462097 0.253851 0.26746
2112 -0.0389153 -0.0567707 0.357089
2112 -0.0086996 -0.00648029 0.484689
2112 -0.258533 -0.0145979 0.609712
2112 0.0650654 -0.0429887 0.10495
2112 0.018815 0.0517836 0.174486
2112 -0.0218837 -0.201353 0.253932
2112 -0.238744 0.000678294 0.217655
2112 0.0500975 0.0952571 0.580904
2112 -0.0464239 -0.0865362 -0.016464
2112 -0.130963 -0.30082 0.175507
2112 -0.0304659 0.0318345 0.618175
2112 -0.021547 -0.00931671 0.0925816
2112 -0.143149 0.192543 0.0215978
2112 0.031458 -0.00167578 0.401925
2112 -0.471497 -0.0584137 -0.0944956
2112 -0.0181316 -0.0771013 -0.174745
2112 0.0472137 -0.0724352 0.709634
2112 0.121488 -0.0338733 0.292904
2112 0.0571646 -0.127291 -0.00864416
2112 -0.170457 -0.257426 0.110524
2112 -0.131186 -0.11949 0.459576
2112 0.0779433 -0.0687898 0.157717
2112 0.249993 -0.18053 0.487448
2112 -0.103726 0.0336366 0.254267
2112 0.000840632 0.0951509 -0.14227
2112 -0.161423 -0.0308189 0.45824
2112 0.139416 -0.0137955 -0.0186605
2112 -0.0711031 0.00668316 -0.120869
2112 0.135545 0.1676 0.775188
2112 0.0952011 0.0518399 -0.042616
2112 -0.229791 -0.169261 0.378776
2112 -0.019266 0.00188655 0.556237
2112 0.0143093 0.409669 0.0302381
