Run	SC	BeamType
2334	2.4100E-08	Sn108
2335	2.4300E-08	Sn108
2336	2.3100E-08	Sn108
2337	2.2600E-08	Sn108
2340	2.4200E-08	Sn108
2341	2.3900E-08	Sn108
2362	2.2400E-08	Sn108
2363	2.3600E-08	Sn108
2368	2.5700E-08	Sn108
2369	2.5000E-08	Sn108
2370	2.3200E-08	Sn108
2371	2.4400E-08	Sn108
2372	2.3500E-08	Sn108
2373	2.1600E-08	Sn108
2374	2.4700E-08	Sn108
2375	2.3400E-08	Sn108
2378	2.2500E-08	Sn108
2379	2.0500E-08	Sn108
2380	1.5900E-08	Sn108
2381	1.9100E-08	Sn108
2382	1.8600E-08	Sn108
2383	1.7200E-08	Sn108
2384	1.9300E-08	Sn108
2385	2.2300E-08	Sn108
2386	2.2000E-08	Sn108
2387	2.1600E-08	Sn108
2388	2.0600E-08	Sn108
2389	2.1000E-08	Sn108
2391	1.9600E-08	Sn108
2392	2.1100E-08	Sn108
2393	2.0200E-08	Sn108
2394	1.9500E-08	Sn108
2395	1.8700E-08	Sn108
2396	1.9200E-08	Sn108
2397	1.7900E-08	Sn108
2398	1.7000E-08	Sn108
2399	1.7400E-08	Sn108
2400	1.7100E-08	Sn108
2401	1.6900E-08	Sn108
2402	1.6700E-08	Sn108
2429	1.2700E-08	Sn108
2432	8.9200E-09	Sn108
2433	8.3800E-09	Sn108
2434	8.4600E-09	Sn108
2437	1.3400E-08	Sn108
2438	1.2900E-08	Sn108
2439	1.2400E-08	Sn108
2440	1.2500E-08	Sn108
2442	1.1600E-08	Sn108
2453	8.3200E-09	Sn108
2461	1.1200E-08	Sn108
2462	9.3000E-09	Sn108
2463	1.3200E-08	Sn108
2501	2.3200E-08	Sn108
2502	2.0300E-08	Sn108
2503	1.9800E-08	Sn108
2505	1.9600E-08	Sn108
2506	1.8600E-08	Sn108
2507	1.8500E-08	Sn108
2508	1.9100E-08	Sn108
2509	1.9600E-08	Sn108
2841	4.2329E-08	Sn132
2843	4.2871E-08	Sn132
2844	4.0254E-08	Sn132
2845	3.9169E-08	Sn132
2846	3.8978E-08	Sn132
2848	1.3176E-08	Sn132
2849	3.7441E-08	Sn132
2850	3.9586E-08	Sn132
2851	4.1411E-08	Sn132
2852	4.3296E-08	Sn132
2855	4.1396E-08	Sn132
2856	3.9465E-08	Sn132
2857	4.2326E-08	Sn132
2858	4.2630E-08	Sn132
2859	4.0065E-08	Sn132
2860	4.2575E-08	Sn132
2861	4.1736E-08	Sn132
2875	4.1084E-08	Sn132
2877	4.2541E-08	Sn132
2878	4.3088E-08	Sn132
2879	4.1332E-08	Sn132
2880	3.9348E-08	Sn132
2881	4.1807E-08	Sn132
2882	4.2854E-08	Sn132
2883	3.9737E-08	Sn132
2884	4.2082E-08	Sn132
2887	4.1471E-08	Sn132
2888	4.3833E-08	Sn132
2889	4.2097E-08	Sn132
2890	4.2480E-08	Sn132
2891	4.1038E-08	Sn132
2892	4.5286E-08	Sn132
2893	4.3751E-08	Sn132
2894	4.4509E-08	Sn132
2896	4.2549E-08	Sn132
2898	4.1290E-08	Sn132
2899	4.0378E-08	Sn132
2900	3.9084E-08	Sn132
2901	4.0424E-08	Sn132
2902	4.0853E-08	Sn132
2903	4.0519E-08	Sn132
2904	4.0282E-08	Sn132
2905	4.1358E-08	Sn132
2907	4.2359E-08	Sn132
2914	4.2888E-08	Sn132
2916	4.1698E-08	Sn132
2917	4.1667E-08	Sn132
2919	4.1296E-08	Sn132
2920	4.3807E-08	Sn132
2921	4.2785E-08	Sn132
2922	4.3286E-08	Sn132
2924	3.8118E-08	Sn132
2925	4.0458E-08	Sn132
2926	4.3029E-08	Sn132
2927	4.2863E-08	Sn132
2929	4.3617E-08	Sn132
2930	3.9704E-08	Sn132
2931	3.8629E-08	Sn132
2932	4.1686E-08	Sn132
2933	4.2277E-08	Sn132
2934	4.3661E-08	Sn132
2935	4.3464E-08	Sn132
2936	4.4661E-08	Sn132
2939	4.3482E-08	Sn132
2940	4.3083E-08	Sn132
2941	4.3644E-08	Sn132
2942	4.2513E-08	Sn132
2943	4.6840E-08	Sn132
2944	4.5434E-08	Sn132
2945	4.5514E-08	Sn132
2946	4.5947E-08	Sn132
2948	4.5185E-08	Sn132
2949	4.4756E-08	Sn132
2955	4.5467E-08	Sn132
2956	4.5036E-08	Sn132
2958	4.6165E-08	Sn132
2959	4.3465E-08	Sn132
2960	4.6320E-08	Sn132
2961	4.4946E-08	Sn132
2962	4.4567E-08	Sn132
2964	4.4827E-08	Sn132
2965	4.4456E-08	Sn132
2966	4.6357E-08	Sn132
2968	4.2871E-08	Sn132
2969	4.2193E-08	Sn132
2970	4.3378E-08	Sn132
2971	4.4167E-08	Sn132
2972	4.3646E-08	Sn132
2973	4.3871E-08	Sn132
2975	4.5011E-08	Sn132
2976	4.5224E-08	Sn132
2977	4.2961E-08	Sn132
2978	4.3134E-08	Sn132
2979	4.5262E-08	Sn132
2980	4.2701E-08	Sn132
2981	4.6158E-08	Sn132
2982	4.0301E-08	Sn132
2983	4.2907E-08	Sn132
2984	1.3176E-08	Sn132
2985	4.4555E-08	Sn132
2986	4.6364E-08	Sn132
2988	4.3653E-08	Sn132
2989	4.3614E-08	Sn132
2990	4.4273E-08	Sn132
2991	4.5724E-08	Sn132
2992	4.7498E-08	Sn132
2993	4.3828E-08	Sn132
2997	4.0739E-08	Sn132
2999	4.1687E-08	Sn132
3000	4.3645E-08	Sn132
3002	4.1245E-08	Sn132
3003	4.1054E-08	Sn132
3007	4.0565E-08	Sn132
