Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - electrical component of [1] - J.F.Ziegler et al	5 - nuclear component of [1] - J.F.Ziegler et al
250.000000	5.72294   	3.98644   	4.14959   	4.02416   	3.98545   	0.00098776
250.074906	5.72196   	3.98579   	4.14895   	4.02347   	3.9848    	0.000987491
250.149813	5.72099   	3.98514   	4.14831   	4.02279   	3.98416   	0.000987224
250.224719	5.72001   	3.98449   	4.14766   	4.02211   	3.98351   	0.000986956
250.299625	5.71904   	3.98385   	4.14702   	4.02143   	3.98286   	0.000986688
250.374532	5.71807   	3.9832    	4.14638   	4.02075   	3.98221   	0.000986421
250.449438	5.71709   	3.98255   	4.14574   	4.02007   	3.98156   	0.000986153
250.524345	5.71612   	3.9819    	4.1451    	4.01939   	3.98092   	0.000985886
250.599251	5.71515   	3.98126   	4.14446   	4.01871   	3.98027   	0.000985619
250.674157	5.71418   	3.98061   	4.14382   	4.01803   	3.97963   	0.000985352
250.749064	5.71321   	3.97997   	4.14318   	4.01735   	3.97898   	0.000985085
250.823970	5.71224   	3.97932   	4.14254   	4.01667   	3.97834   	0.000984819
250.898876	5.71127   	3.97867   	4.1419    	4.016     	3.97769   	0.000984552
250.973783	5.7103    	3.97803   	4.14126   	4.01532   	3.97705   	0.000984286
251.048689	5.70933   	3.97739   	4.14062   	4.01464   	3.9764    	0.00098402
251.123596	5.70836   	3.97674   	4.13998   	4.01396   	3.97576   	0.000983754
251.198502	5.7074    	3.9761    	4.13934   	4.01329   	3.97511   	0.000983488
251.273408	5.70643   	3.97545   	4.1387    	4.01261   	3.97447   	0.000983223
251.348315	5.70546   	3.97481   	4.13807   	4.01194   	3.97383   	0.000982957
251.423221	5.7045    	3.97417   	4.13743   	4.01126   	3.97319   	0.000982692
251.498127	5.70353   	3.97353   	4.13679   	4.01059   	3.97254   	0.000982426
251.573034	5.70257   	3.97289   	4.13616   	4.00991   	3.9719    	0.000982161
251.647940	5.7016    	3.97224   	4.13552   	4.00924   	3.97126   	0.000981896
251.722846	5.70064   	3.9716    	4.13488   	4.00856   	3.97062   	0.000981632
251.797753	5.69968   	3.97096   	4.13425   	4.00789   	3.96998   	0.000981367
251.872659	5.69872   	3.97032   	4.13361   	4.00722   	3.96934   	0.000981102
251.947566	5.69775   	3.96968   	4.13298   	4.00654   	3.9687    	0.000980838
252.022472	5.69679   	3.96904   	4.13235   	4.00587   	3.96806   	0.000980574
252.097378	5.69583   	3.9684    	4.13171   	4.0052    	3.96742   	0.00098031
252.172285	5.69487   	3.96776   	4.13108   	4.00453   	3.96678   	0.000980046
252.247191	5.69391   	3.96712   	4.13044   	4.00386   	3.96614   	0.000979782
252.322097	5.69295   	3.96649   	4.12981   	4.00319   	3.96551   	0.000979519
252.397004	5.69199   	3.96585   	4.12918   	4.00252   	3.96487   	0.000979255
252.471910	5.69104   	3.96521   	4.12855   	4.00185   	3.96423   	0.000978992
252.546816	5.69008   	3.96457   	4.12792   	4.00118   	3.96359   	0.000978729
252.621723	5.68912   	3.96394   	4.12728   	4.00051   	3.96296   	0.000978466
252.696629	5.68816   	3.9633    	4.12665   	3.99984   	3.96232   	0.000978203
252.771536	5.68721   	3.96266   	4.12602   	3.99917   	3.96169   	0.00097794
252.846442	5.68625   	3.96203   	4.12539   	3.9985    	3.96105   	0.000977678
252.921348	5.6853    	3.96139   	4.12476   	3.99784   	3.96041   	0.000977415
252.996255	5.68434   	3.96076   	4.12413   	3.99717   	3.95978   	0.000977153
253.071161	5.68339   	3.96012   	4.1235    	3.9965    	3.95915   	0.000976891
253.146067	5.68243   	3.95949   	4.12287   	3.99583   	3.95851   	0.000976629
253.220974	5.68148   	3.95885   	4.12225   	3.99517   	3.95788   	0.000976367
253.295880	5.68053   	3.95822   	4.12162   	3.9945    	3.95724   	0.000976106
