Run Number,System,# Events,Space Charge,Y Pedestal,BDC X Offset,BDC Y Offset,GG Run #,anode 12
2272,108112,110162,1.09e-08,26.637,-1.22631,-204.453,2263,2272
2273,108112,86832,1.09e-08,26.681,-1.26382,-204.315,2263,2272
2274,108112,111436,9.31e-09,26.554,-1.29698,-204.608,2263,2272
2275,108112,74554,9.99e-09,26.559,-1.18734,-204.634,2263,2272
2276,108112,82858,1.05e-08,26.489,-1.37023,-204.433,2263,2272
2283,108112,80415,1.62e-08,26.821,-1.24087,-204.492,2263,2272
2284,108112,87900,1.56e-08,26.746,-1.27587,-204.592,2263,2272
2285,108112,5173,1.36e-08,26.765,-1.35576,-204.864,2263,2272
2286,108112,12278,1.16e-08,26.616,-1.45185,-204.383,2263,2272
2288,108112,14466,1.08e-08,26.533,-1.50735,-204.583,2263,2272
2289,108112,12718,1.62e-08,26.834,-1.45048,-204.654,2263,2272
2291,108112,30560,1.54e-08,26.701,-1.40098,-204.527,2290,2272
2310,108112,75371,1.17e-08,26.534,-1.32095,-204.539,2290,2272
2311,108112,93435,1.19e-08,26.579,-1.31169,-204.458,2290,2272
2314,108112,79031,8.67e-09,26.355,-1.25613,-204.762,2290,2272
2315,108112,78086,1.07e-08,26.433,-1.38271,-204.81,2290,2272
2320,108112,52084,8.24e-09,26.331,-1.18007,-204.697,2290,2272
2322,108112,73227,1.1e-08,26.454,-1.28978,-204.737,2321,2272
2323,108112,74409,1.09e-08,26.563,-1.12567,-204.54,2321,2272
2324,108112,100162,1.42e-08,26.618,-1.33508,-204.462,2321,2272
2325,108112,93024,1.63e-08,26.598,-1.28328,-204.641,2321,2272
2331,108112,98879,2.08e-08,26.875,-1.2492,-204.586,2321,2272
2332,108112,99980,2.04e-08,26.892,-1.33837,-204.684,2321,2272
2333,108112,104823,2.07e-08,26.971,-1.25005,-204.537,2321,2272
2334,108112,99410,2.37e-08,26.969,-1.30907,-204.734,2321,2272
2335,108112,100424,2.11e-08,27.016,-1.28389,-204.695,2321,2272
2336,108112,100753,2.1e-08,26.979,-1.30974,-204.701,2321,2272
2337,108112,98888,2.29e-08,26.991,-1.48949,-204.675,2321,2272
2340,108112,99774,2.16e-08,27.001,-1.39691,-204.708,2321,2272
2341,108112,100508,2.38e-08,27.041,-1.3887,-204.697,2321,2272
2362,108112,97783,2.02e-08,27.016,-1.24214,-204.77,2321,2272
2363,108112,98388,1.97e-08,26.999,-1.27502,-204.818,2321,2272
2368,108112,109275,2.59e-08,27.204,-1.26078,-204.752,2321,2272
2369,108112,105066,2.31e-08,27.179,-1.33161,-204.661,2321,2272
2370,108112,92089,2.23e-08,27.078,-1.30784,-204.731,2321,2272
2371,108112,89479,2.22e-08,27.149,-1.32066,-204.66,2321,2272
2372,108112,115113,2.02e-08,27.155,-1.23875,-204.638,2321,2841
2373,108112,92377,2.29e-08,27.061,-1.35432,-204.667,2321,2841
2374,108112,107419,2.17e-08,27.094,-1.18742,-204.75,2321,2841
2375,108112,109628,2.21e-08,27.031,-1.28555,-204.733,2321,2841
2378,108112,34329,2.29e-08,26.935,-1.45454,-204.838,2321,2841
2379,108112,95112,1.96e-08,26.919,-1.29813,-204.75,2321,2841
2380,108112,28465,1.73e-08,26.855,-1.20313,-204.744,2321,2841
2381,108112,98063,1.75e-08,26.852,-1.33055,-204.735,2321,2841
2382,108112,82411,1.88e-08,26.897,-1.35013,-204.687,2321,2841
2383,108112,81165,1.67e-08,26.792,-1.36114,-204.778,2321,2841
2384,108112,96686,1.97e-08,26.895,-1.33925,-204.706,2321,2841
2385,108112,103278,2.11e-08,26.958,-1.22821,-204.743,2321,2841
2386,108112,102155,2.26e-08,26.919,-1.36091,-204.757,2321,2841
2387,108112,103636,1.76e-08,26.886,-1.23991,-204.761,2321,2841
2388,108112,94414,1.91e-08,26.855,-1.27834,-204.82,2321,2841
2389,108112,97055,1.88e-08,26.845,-1.29266,-204.799,2321,2841
2391,108112,87152,1.84e-08,26.812,-1.23174,-204.796,2321,2841
2392,108112,97930,1.78e-08,26.903,-1.29472,-204.813,2321,2841
2393,108112,91605,1.81e-08,26.896,-1.22045,-204.805,2321,2841
2394,108112,85309,1.89e-08,26.883,-1.29701,-204.748,2321,2841
2395,108112,89201,1.75e-08,26.745,-1.3283,-204.884,2321,2841
2396,108112,89601,1.56e-08,26.831,-1.12415,-204.77,2321,2841
2397,108112,87065,1.58e-08,26.753,-1.23767,-204.874,2321,2841
2398,108112,83530,1.56e-08,26.685,-1.35488,-204.857,2321,2841
2399,108112,90695,1.73e-08,26.769,-1.37502,-204.769,2321,2841
2400,108112,73091,1.52e-08,26.749,-1.23886,-204.745,2321,2841
2401,108112,65587,1.66e-08,26.697,-1.30096,-204.909,2321,2841
2402,108112,20968,1.59e-08,26.595,-1.53889,-204.917,2321,2841
2429,108112,19642,1.02e-08,26.595,-1.15161,-204.71,2321,2841
2432,108112,67794,7.36e-09,26.418,-1.22899,-204.794,2321,2841
2433,108112,67950,6.86e-09,26.385,-1.25565,-204.759,2321,2841
2434,108112,66740,9.23e-09,26.353,-1.29563,-204.871,2321,2841
2437,108112,68906,1.25e-08,26.501,-1.2535,-204.815,2435,2437
2438,108112,68047,1.09e-08,26.441,-1.21849,-204.842,2435,2437
2439,108112,80613,9.83e-09,26.389,-1.11011,-204.852,2435,2437
2440,108112,75262,1.26e-08,26.431,-1.25192,-204.774,2435,2437
2442,108112,73984,1.03e-08,26.39,-1.20886,-204.781,2435,2437
2453,108112,62533,6.71e-09,26.28,-1.22227,-204.907,2435,2437
2461,108112,66507,1.27e-08,26.227,-1.30951,-205.032,2464,2437
2462,108112,73588,1.12e-08,26.15,-1.27212,-205.06,2464,2437
2463,108112,85787,1.5e-08,26.098,-1.31283,-205.221,2464,2437,
2501,108112,68001,2.18e-08,26.436,-1.35829,-205.157,2504,2437
2502,108112,66509,1.85e-08,26.291,-1.18592,-205.139,2504,2437
2503,108112,66072,2.02e-08,26.306,-1.39229,-205.148,2504,2437
2505,108112,61957,1.75e-08,26.345,-1.19732,-205.016,2504,2437
2506,108112,56491,1.63e-08,26.246,-1.32864,-205.1,2504,2437
2507,108112,54770,1.51e-08,26.176,-1.25092,-205.175,2504,2437
2508,108112,63047,1.69e-08,26.217,-1.1893,-205.143,2504,2437
2509,108112,44075,1.76e-08,26.253,-1.41364,-205.109,2504,2437
2542,112124,54441,1.82e-08,25.405,-1.2566,-204.723,2545,2437
2543,112124,60097,1.87e-08,25.441,-1.38177,-204.977,2545,2437
2544,112124,53322,1.57e-08,25.352,-1.20942,-204.794,2545,2437
2546,112124,60455,1.94e-08,25.468,-1.28366,-204.841,2545,2437
2547,112124,52712,1.67e-08,25.466,-1.30976,-204.791,2545,2437
2548,112124,4585,1.63e-08,25.238,-1.4312,-204.794,2545,2437
2552,112124,66544,1.59e-08,25.333,-1.33664,-204.901,2545,2437
2553,112124,72778,1.92e-08,25.456,-1.19358,-204.733,2545,2437
2554,112124,90841,2.3e-08,25.516,-1.22646,-204.647,2545,2437
2555,112124,80018,1.99e-08,25.489,-1.19475,-204.923,2545,2437
2556,112124,87618,2.1e-08,25.577,-1.19521,-204.642,2545,2437
2557,112124,78171,2.04e-08,25.55,-1.39562,-204.816,2545,2437
2558,112124,73866,1.61e-08,25.381,-1.2862,-204.673,2545,2437
2559,112124,66874,1.56e-08,25.327,-1.31458,-204.86,2545,2437
2560,112124,91907,2.19e-08,25.536,-1.26228,-204.943,2545,2437
2562,112124,92098,2.79e-08,25.749,-1.43965,-204.82,2545,2437
2563,112124,81895,2.06e-08,25.486,-1.27531,-204.843,2545,2437
2564,112124,78572,1.73e-08,25.407,-1.00944,-205.014,2545,2437
2565,112124,78840,2.05e-08,25.381,-1.3549,-204.885,2545,2437
2566,112124,97396,2.24e-08,25.571,-1.25564,-204.874,2545,2437
2567,112124,93625,2.73e-08,25.614,-1.39724,-204.746,2545,2437
2568,112124,99304,2.53e-08,25.704,-1.25769,-204.848,2545,2437
2569,112124,104663,2.72e-08,25.801,-1.32245,-204.887,2545,2437
2570,112124,106777,2.77e-08,25.878,-1.21936,-204.538,2545,2437
2571,112124,101007,2.54e-08,25.718,-1.12834,-204.621,2545,2437
2572,112124,102786,2.65e-08,25.706,-1.20239,-204.708,2545,2437
