#analyzed first 3000 events of run3202 (cocktail 100 MeV data)
#extracted saturated pulse, and obtained gaussian mean values for each time bucket bin.
117 260 1 4 8
(value) (rms) (weight)
0.115337 5.56752 0
0.203432 5.71753 0
0.204689 5.70981 0
0.121927 5.69634 0
0.183945 5.73923 0
0.135383 5.73117 0
0.236168 5.71659 0
0.245743 5.68381 0
0.242703 5.73131 0
0.260882 5.73489 0
0.290495 5.69638 0
0.243866 5.73063 0
0.24421 5.71236 0
0.173471 5.70286 0
0.176791 5.71945 0
0.186822 5.72734 0
0.230893 5.72871 0
0.231942 5.74479 0
0.152411 5.73478 0
0.159 5.74576 0
0.256679 5.7404 0
0.231209 5.72136 0
0.22741 5.76449 0
0.292239 5.77232 0
0.266624 5.75786 0
0.284425 5.74052 0
0.300133 5.76458 0
0.352662 5.79212 0
0.337301 5.75781 0
0.393901 5.72929 0
0.386017 5.76768 0
0.433163 5.74967 0
0.461322 5.7215 0
0.436386 5.69844 0
0.434526 5.76497 0
0.416931 5.84275 0
0.391074 5.78868 0
0.416124 5.78627 0
0.403161 5.81404 0
0.345356 5.83554 0
0.439947 5.86516 0
0.504045 5.86698 0
0.512689 5.90405 0
0.534768 5.94488 0
0.664582 6.07725 0
1.04421 6.19428 0
5.12429 7.64068 0
94.5204 57.0651 0
555.586 345.146 0
1892.12 626.594 0
3777.72 45.4268 0
3785.12 41.3081 0
3783.77 41.4672 0
3781.87 41.2529 0
3446.36 309.188 0
2401.14 364.287 0
1441.7 256.679 0
810.347 171.917 0
429.7 113.844 0
219.633 74.9352 0
112.692 51.8725 0
65.8542 34.5932 0
43.7836 25.7458 0
33.0435 20.6946 0
27.9415 17.1378 0
24.2715 14.938 0
21.2233 13.4977 0
18.0302 12.5584 0
16.1879 11.3291 0
14.7779 10.0899 0
12.5982 9.60332 0
10.4019 9.32323 0
9.11239 8.61669 0
7.57378 8.25551 0
6.39616 7.75366 0
5.28143 7.39647 0
3.994 7.25648 0
3.21113 6.88481 0
2.28749 6.64758 0
1.56945 6.38347 0
0.564104 6.32693 0
-0.0641516 6.19019 0
-0.547071 5.88441 0
-1.22623 5.8425 0
-1.76836 5.68096 0
-2.22443 5.53731 0
-2.68185 5.4521 0
-3.15421 5.34835 0
-3.57611 5.24663 0
-4.00129 5.15842 0
-4.39709 5.06991 0
-4.71809 4.99795 0
-5.06976 4.95559 0
-5.40823 4.86793 0
-5.71259 4.77917 0
-6.05725 4.7885 0
-6.32253 4.73253 0
-6.60874 4.67398 0
-6.87763 4.67321 0
-7.09763 4.55319 0
-7.36253 4.53366 0
-7.60857 4.53166 0
-7.82876 4.49559 0
-8.05181 4.44607 0
-8.28703 4.43606 0
-8.47784 4.39228 0
-8.66211 4.38284 0
-8.86206 4.36932 0
-9.0141 4.35674 0
-9.20365 4.29342 0
-9.41532 4.32488 0
-9.56913 4.30583 0
-9.72964 4.24733 0
-9.90226 4.2311 0
-10.0637 4.21579 0
-10.2071 4.20449 0
-10.3594 4.21572 0
-10.5356 4.20029 0
-10.6792 4.1423 0
-10.7779 4.15768 0
-10.9324 4.14557 0
-11.0344 4.14908 0
-11.1399 4.14211 0
-11.2887 4.14779 0
-11.3746 4.14637 0
-11.4969 4.11645 0
-11.6413 4.11605 0
-11.7289 4.09789 0
-11.8533 4.11689 0
-11.923 4.09434 0
-12.0359 4.07121 0
-12.0941 4.07982 0
-12.1912 4.04814 0
-12.2854 4.05514 0
-12.4172 4.03871 0
-12.479 4.04126 0
-12.6053 4.05228 0
-12.6766 4.03527 0
-12.7654 4.00594 0
-12.8331 4.02627 0
-12.9267 4.02288 0
-12.9939 3.99745 0
-13.1006 3.99857 0
-13.1529 4.00233 0
-13.2326 3.98228 0
-13.2787 3.99911 0
-13.3938 4.00509 0
-13.4434 4.00286 0
-13.5047 3.99015 0
